alphabet_size,group_size,num_blocks,num_threads,duration,use_shmem,GPU_name
16384,1,544,512,147624862,0,NVIDIA GeForce RTX 2080 Ti
16384,1,272,1024,152084283,0,NVIDIA GeForce RTX 2080 Ti
16384,1,8704,64,145445460,0,NVIDIA GeForce RTX 2080 Ti
16384,1,4352,128,144683358,0,NVIDIA GeForce RTX 2080 Ti
16384,1,2176,256,141791185,0,NVIDIA GeForce RTX 2080 Ti
16384,1,1088,512,141005115,0,NVIDIA GeForce RTX 2080 Ti
16384,1,544,1024,147289277,0,NVIDIA GeForce RTX 2080 Ti
32768,1,1088,64,193392867,0,NVIDIA GeForce RTX 2080 Ti
32768,1,544,128,171876197,0,NVIDIA GeForce RTX 2080 Ti
32768,1,272,256,172035643,0,NVIDIA GeForce RTX 2080 Ti
32768,1,136,512,172356279,0,NVIDIA GeForce RTX 2080 Ti
32768,1,68,1024,172024162,0,NVIDIA GeForce RTX 2080 Ti
32768,1,2176,64,169516620,0,NVIDIA GeForce RTX 2080 Ti
32768,1,1088,128,169605730,0,NVIDIA GeForce RTX 2080 Ti
32768,1,544,256,169538348,0,NVIDIA GeForce RTX 2080 Ti
32768,1,272,512,170684792,0,NVIDIA GeForce RTX 2080 Ti
32768,1,136,1024,172844372,0,NVIDIA GeForce RTX 2080 Ti
32768,1,4352,64,163090677,0,NVIDIA GeForce RTX 2080 Ti
32768,1,2176,128,163087078,0,NVIDIA GeForce RTX 2080 Ti
32768,1,1088,256,161922766,0,NVIDIA GeForce RTX 2080 Ti
32768,1,544,512,165751428,0,NVIDIA GeForce RTX 2080 Ti
32768,1,272,1024,170354139,0,NVIDIA GeForce RTX 2080 Ti
32768,1,8704,64,162939937,0,NVIDIA GeForce RTX 2080 Ti
32768,1,4352,128,161925831,0,NVIDIA GeForce RTX 2080 Ti
32768,1,2176,256,159161150,0,NVIDIA GeForce RTX 2080 Ti
32768,1,1088,512,157982331,0,NVIDIA GeForce RTX 2080 Ti
32768,1,544,1024,164483505,0,NVIDIA GeForce RTX 2080 Ti
4,2,1088,64,9361206,1,NVIDIA GeForce RTX 2080 Ti
4,2,544,128,9363279,1,NVIDIA GeForce RTX 2080 Ti
4,2,272,256,9360767,1,NVIDIA GeForce RTX 2080 Ti
4,2,136,512,9337951,1,NVIDIA GeForce RTX 2080 Ti
4,2,68,1024,9309900,1,NVIDIA GeForce RTX 2080 Ti
